Ano,Função,Resultado Primário,Subfunção,Empenhado,Pago
Total,,,,42.155.411.414.451,39.537.916.535.737
2003,01 - Legislativa,"1 - Primária obrigatória, considerada no cálculo do RP",031 - Ação Legislativa,2.036.920.537,2.029.546.007
2003,01 - Legislativa,"1 - Primária obrigatória, considerada no cálculo do RP",032 - Controle Externo,285.180.201,279.688.757
2003,01 - Legislativa,"1 - Primária obrigatória, considerada no cálculo do RP",306 - Alimentação e Nutrição,90.744.968,90.744.968
2003,01 - Legislativa,"1 - Primária obrigatória, considerada no cálculo do RP",331 - Proteção e Benefícios ao Trabalhador,1.375.649,1.375.649
2003,01 - Legislativa,"2 - Primária discricionária, considerada no cálculo do RP",031 - Ação Legislativa,501.508.045,444.824.294
2003,01 - Legislativa,"2 - Primária discricionária, considerada no cálculo do RP",032 - Controle Externo,51.695.711,38.549.049
2003,01 - Legislativa,"2 - Primária discricionária, considerada no cálculo do RP",126 - Tecnologia da Informação,33.487.408,28.023.183
2003,01 - Legislativa,"2 - Primária discricionária, considerada no cálculo do RP",128 - Formação de Recursos Humanos,3.371.210,2.892.357
2003,01 - Legislativa,"2 - Primária discricionária, considerada no cálculo do RP",131 - Comunicação Social,5.945.388,5.945.388
2003,01 - Legislativa,"2 - Primária discricionária, considerada no cálculo do RP",212 - Cooperação Internacional,34.889,34.889
2003,01 - Legislativa,"2 - Primária discricionária, considerada no cálculo do RP",301 - Atenção Básica,58.834.327,56.354.351
2003,01 - Legislativa,"2 - Primária discricionária, considerada no cálculo do RP",364 - Ensino Superior,9.984,9.984
2003,01 - Legislativa,"2 - Primária discricionária, considerada no cálculo do RP",365 - Educação Infantil,5.909.875,5.909.875
2003,02 - Judiciária,"1 - Primária obrigatória, considerada no cálculo do RP",061 - Ação Judiciária,6.754.143.667,6.562.793.900
2003,02 - Judiciária,"1 - Primária obrigatória, considerada no cálculo do RP",306 - Alimentação e Nutrição,286.398.296,285.565.633
2003,02 - Judiciária,"1 - Primária obrigatória, considerada no cálculo do RP",331 - Proteção e Benefícios ao Trabalhador,13.689.913,13.285.509
2003,02 - Judiciária,"2 - Primária discricionária, considerada no cálculo do RP",061 - Ação Judiciária,1.081.356.417,833.558.703
2003,02 - Judiciária,"2 - Primária discricionária, considerada no cálculo do RP",126 - Tecnologia da Informação,21.113.955,13.253.613
2003,02 - Judiciária,"2 - Primária discricionária, considerada no cálculo do RP",128 - Formação de Recursos Humanos,18.522.636,16.190.127
2003,02 - Judiciária,"2 - Primária discricionária, considerada no cálculo do RP",301 - Atenção Básica,146.186.721,137.102.470
2003,02 - Judiciária,"2 - Primária discricionária, considerada no cálculo do RP",365 - Educação Infantil,32.989.884,32.433.534
2003,02 - Judiciária,"2 - Primária discricionária, considerada no cálculo do RP",722 - Telecomunicações,5.411.454,5.245.763
2003,03 - Essencial à Justiça,"1 - Primária obrigatória, considerada no cálculo do RP",091 - Defesa da Ordem Jurídica,933.656.191,933.656.191
2003,03 - Essencial à Justiça,"1 - Primária obrigatória, considerada no cálculo do RP",092 - Representação Judicial e Extrajudicial,160.643.211,160.643.211
2003,03 - Essencial à Justiça,"1 - Primária obrigatória, considerada no cálculo do RP",306 - Alimentação e Nutrição,40.472.466,40.472.466
2003,03 - Essencial à Justiça,"1 - Primária obrigatória, considerada no cálculo do RP",331 - Proteção e Benefícios ao Trabalhador,3.141.200,3.141.200
2003,03 - Essencial à Justiça,"2 - Primária discricionária, considerada no cálculo do RP",062 - Defesa do Interesse Público no Processo Judiciário,39.153.135,32.514.313
2003,03 - Essencial à Justiça,"2 - Primária discricionária, considerada no cálculo do RP",091 - Defesa da Ordem Jurídica,140.947.363,119.795.699
2003,03 - Essencial à Justiça,"2 - Primária discricionária, considerada no cálculo do RP",092 - Representação Judicial e Extrajudicial,11.895.444,11.039.561
2003,03 - Essencial à Justiça,"2 - Primária discricionária, considerada no cálculo do RP",125 - Normatização e Fiscalização,29.11,0
2003,03 - Essencial à Justiça,"2 - Primária discricionária, considerada no cálculo do RP",126 - Tecnologia da Informação,32.09,0
2003,03 - Essencial à Justiça,"2 - Primária discricionária, considerada no cálculo do RP",128 - Formação de Recursos Humanos,1.601.151,1.547.298
2003,03 - Essencial à Justiça,"2 - Primária discricionária, considerada no cálculo do RP",131 - Comunicação Social,14.3,0
2003,03 - Essencial à Justiça,"2 - Primária discricionária, considerada no cálculo do RP",212 - Cooperação Internacional,24.04,24.04
2003,03 - Essencial à Justiça,"2 - Primária discricionária, considerada no cálculo do RP",301 - Atenção Básica,10.384.175,10.216.586
2003,03 - Essencial à Justiça,"2 - Primária discricionária, considerada no cálculo do RP",365 - Educação Infantil,4.438.168,4.438.168
2003,03 - Essencial à Justiça,"2 - Primária discricionária, considerada no cálculo do RP","422 - Direitos Individuais, Coletivos e Difusos",9.627.625,9.541.594
