Ano,Função,Resultado Primário,Subfunção,Empenhado,Liquidado,Pago
Total,,,,48.398.382.871.544,46.347.292.672.715,45.611.023.315.136
2000,01 - Legislativa,1 - Primária obrigatória, considerada no cálculo do RP,031 - Ação Legislativa,1.154.231.998,1.154.231.998,1.122.589.754
2000,01 - Legislativa,1 - Primária obrigatória, considerada no cálculo do RP,032 - Controle Externo,180.483.000,180.483.000,180.228.463
2000,01 - Legislativa,1 - Primária obrigatória, considerada no cálculo do RP,306 - Alimentação e Nutrição,58.075.176,58.075.176,56.088.618
2000,01 - Legislativa,1 - Primária obrigatória, considerada no cálculo do RP,331 - Proteção e Benefícios ao Trabalhador,1.994.858,1.994.858,1.994.858
2000,01 - Legislativa,2 - Primária discricionária, considerada no cálculo do RP,031 - Ação Legislativa,23.973.985,23.973.985,15.733.745
2000,01 - Legislativa,2 - Primária discricionária, considerada no cálculo do RP,122 - Administração Geral,244.705.343,244.705.343,207.492.115
2000,01 - Legislativa,2 - Primária discricionária, considerada no cálculo do RP,126 - Tecnologia da Informação,42.998.971,42.998.971,26.952.838
2000,01 - Legislativa,2 - Primária discricionária, considerada no cálculo do RP,128 - Formação de Recursos Humanos,2.591.447,2.591.447,2.301.726
2000,01 - Legislativa,2 - Primária discricionária, considerada no cálculo do RP,212 - Cooperação Internacional,20.150,20.150,20.150
2000,01 - Legislativa,2 - Primária discricionária, considerada no cálculo do RP,301 - Atenção Básica,43.306.454,43.306.454,35.827.943
2000,01 - Legislativa,2 - Primária discricionária, considerada no cálculo do RP,365 - Educação Infantil,4.622.537,4.622.537,4.608.567
2000,02 - Judiciária,1 - Primária obrigatória, considerada no cálculo do RP,061 - Ação Judiciária,5.269.034.731,5.269.034.731,5.259.688.053
2000,02 - Judiciária,1 - Primária obrigatória, considerada no cálculo do RP,306 - Alimentação e Nutrição,189.449.270,189.449.270,188.522.131
2000,02 - Judiciária,1 - Primária obrigatória, considerada no cálculo do RP,331 - Proteção e Benefícios ao Trabalhador,20.628.708,20.628.708,20.243.148
2000,02 - Judiciária,2 - Primária discricionária, considerada no cálculo do RP,061 - Ação Judiciária,213.688.345,213.688.345,177.812.304
2000,02 - Judiciária,2 - Primária discricionária, considerada no cálculo do RP,122 - Administração Geral,460.104.605,460.104.605,363.062.717
2000,02 - Judiciária,2 - Primária discricionária, considerada no cálculo do RP,126 - Tecnologia da Informação,191.772.940,191.772.940,145.341.970
2000,02 - Judiciária,2 - Primária discricionária, considerada no cálculo do RP,128 - Formação de Recursos Humanos,9.244.954,9.244.954,7.799.729
2000,02 - Judiciária,2 - Primária discricionária, considerada no cálculo do RP,212 - Cooperação Internacional,5.000,5.000,0
2000,02 - Judiciária,2 - Primária discricionária, considerada no cálculo do RP,301 - Atenção Básica,99.382.429,99.382.429,85.995.972
2000,02 - Judiciária,2 - Primária discricionária, considerada no cálculo do RP,365 - Educação Infantil,25.139.658,25.139.658,23.980.969
2000,03 - Essencial à Justiça,1 - Primária obrigatória, considerada no cálculo do RP,091 - Defesa da Ordem Jurídica,498.908.216,498.908.216,498.908.216
2000,03 - Essencial à Justiça,1 - Primária obrigatória, considerada no cálculo do RP,122 - Administração Geral,46.647.561,46.647.561,46.647.561
2000,03 - Essencial à Justiça,1 - Primária obrigatória, considerada no cálculo do RP,306 - Alimentação e Nutrição,11.633.653,11.633.653,11.633.653
2000,03 - Essencial à Justiça,1 - Primária obrigatória, considerada no cálculo do RP,331 - Proteção e Benefícios ao Trabalhador,2.122.421,2.122.421,2.122.421
2000,03 - Essencial à Justiça,2 - Primária discricionária, considerada no cálculo do RP,091 - Defesa da Ordem Jurídica,4.963.737,4.963.737,1.128.283
2000,03 - Essencial à Justiça,2 - Primária discricionária, considerada no cálculo do RP,092 - Representação Judicial e Extrajudicial,11.785.429,11.785.429,8.752.173
2000,03 - Essencial à Justiça,2 - Primária discricionária, considerada no cálculo do RP,122 - Administração Geral,85.561.970,85.561.970,78.343.584
2000,03 - Essencial à Justiça,2 - Primária discricionária, considerada no cálculo do RP,126 - Tecnologia da Informação,8.325.375,8.325.375,5.441.303
2000,03 - Essencial à Justiça,2 - Primária discricionária, considerada no cálculo do RP,128 - Formação de Recursos Humanos,1.720.856,1.720.856,1.520.929
2000,03 - Essencial à Justiça,2 - Primária discricionária, considerada no cálculo do RP,212 - Cooperação Internacional,10.000,10.000,10.000
