Ano,Função,Resultado Primário,Empenhado,Liquidado,Pago,,,
Total,,,48.403.377.718.132,46.365.216.689.654,45.632.659.721.051,,,
2000,01 - Legislativa,1 - Primária obrigatória, considerada no cálculo do RP,1.394.785.032,1.394.785.032,1.360.901.693,,
2000,01 - Legislativa,2 - Primária discricionária, considerada no cálculo do RP,362.218.886,362.218.886,292.937.084,,
2000,02 - Judiciária,1 - Primária obrigatória, considerada no cálculo do RP,5.479.112.709,5.479.112.709,5.468.453.333,,
2000,02 - Judiciária,2 - Primária discricionária, considerada no cálculo do RP,999.337.932,999.337.932,803.993.660,,
2000,03 - Essencial à Justiça,1 - Primária obrigatória, considerada no cálculo do RP,559.311.851,559.311.851,559.311.851,,
2000,03 - Essencial à Justiça,2 - Primária discricionária, considerada no cálculo do RP,120.040.579,120.040.579,102.246.510,,
2000,04 - Administração,0 - Financeira,179.646.000,179.646.000,0,,,
2000,04 - Administração,1 - Primária obrigatória, considerada no cálculo do RP,3.567.520.204,3.567.520.204,3.028.457.590,,
2000,04 - Administração,2 - Primária discricionária, considerada no cálculo do RP,2.840.179.895,2.840.141.503,1.958.384.012,,
2000,05 - Defesa Nacional,1 - Primária obrigatória, considerada no cálculo do RP,6.480.238.663,6.480.238.663,6.476.447.455,,
2000,05 - Defesa Nacional,2 - Primária discricionária, considerada no cálculo do RP,4.153.893.405,4.153.893.405,3.072.068.040,,
2000,06 - Segurança Pública,1 - Primária obrigatória, considerada no cálculo do RP,1.077.270.129,1.077.270.129,1.072.481.850,,
2000,06 - Segurança Pública,2 - Primária discricionária, considerada no cálculo do RP,1.111.323.276,1.111.323.276,909.774.809,,
2000,07 - Relações Exteriores,1 - Primária obrigatória, considerada no cálculo do RP,297.272.635,297.272.635,297.268.666,,
2000,07 - Relações Exteriores,2 - Primária discricionária, considerada no cálculo do RP,451.092.013,451.092.013,442.739.753,,
2000,08 - Assistência Social,1 - Primária obrigatória, considerada no cálculo do RP,3.491.991.345,3.491.991.345,3.490.026.983,,
2000,08 - Assistência Social,2 - Primária discricionária, considerada no cálculo do RP,949.675.878,949.608.229,798.506.841,,
2000,09 - Previdência Social,1 - Primária obrigatória, considerada no cálculo do RP,91.888.462.746,91.888.462.746,91.405.147.567,,
2000,09 - Previdência Social,2 - Primária discricionária, considerada no cálculo do RP,1.519.106.373,1.519.106.373,1.015.240.577,,
2000,10 - Saúde,1 - Primária obrigatória, considerada no cálculo do RP,16.435.910.412,16.435.910.412,16.196.528.075,,
2000,10 - Saúde,2 - Primária discricionária, considerada no cálculo do RP,3.834.210.649,3.834.210.649,2.284.117.209,,
2000,11 - Trabalho,1 - Primária obrigatória, considerada no cálculo do RP,5.262.009.400,5.262.009.400,5.185.180.847,,
2000,11 - Trabalho,2 - Primária discricionária, considerada no cálculo do RP,984.384.914,984.384.914,903.691.097,,
2000,12 - Educação,0 - Financeira,967.882.368,967.882.368,296.444.303,,,
2000,12 - Educação,1 - Primária obrigatória, considerada no cálculo do RP,5.399.426.694,5.399.426.694,5.267.877.352,,
2000,12 - Educação,2 - Primária discricionária, considerada no cálculo do RP,4.249.055.101,4.249.055.101,3.410.823.651,,
2000,13 - Cultura,1 - Primária obrigatória, considerada no cálculo do RP,68.520.092,68.520.092,68.135.028,,
2000,13 - Cultura,2 - Primária discricionária, considerada no cálculo do RP,169.699.565,169.699.565,124.977.974,,
2000,14 - Direitos da Cidadania,1 - Primária obrigatória, considerada no cálculo do RP,168.584.685,168.584.685,164.706.257,,
2000,14 - Direitos da Cidadania,2 - Primária discricionária, considerada no cálculo do RP,238.028.557,238.028.557,182.557.854,,
2000,15 - Urbanismo,2 - Primária discricionária, considerada no cálculo do RP,190.421.139,190.421.139,37.529.537,,
2000,16 - Habitação,0 - Financeira,1.368.049.000,1.368.049.000,0,,,
2000,16 - Habitação,2 - Primária discricionária, considerada no cálculo do RP,238.845.222,238.845.222,16.163.474,,
2000,17 - Saneamento,2 - Primária discricionária, considerada no cálculo do RP,161.087.818,161.087.818,18.485.443,,
2000,18 - Gestão Ambiental,1 - Primária obrigatória, considerada no cálculo do RP,159.411.841,159.411.841,159.411.841,,
2000,18 - Gestão Ambiental,2 - Primária discricionária, considerada no cálculo do RP,979.575.650,979.575.650,656.264.743,,
2000,19 - Ciência e Tecnologia,1 - Primária obrigatória, considerada no cálculo do RP,314.004.909,314.004.909,313.976.144,,
2000,19 - Ciência e Tecnologia,2 - Primária discricionária, considerada no cálculo do RP,930.853.762,930.853.762,827.043.849,,
2000,20 - Agricultura,0 - Financeira,1.722.964.635,1.722.964.635,1.575.859.129,,,
2000,20 - Agricultura,1 - Primária obrigatória, considerada no cálculo do RP,1.732.680.400,1.728.892.663,1.544.749.525,,
2000,20 - Agricultura,2 - Primária discricionária, considerada no cálculo do RP,1.630.564.114,1.630.430.867,1.162.207.882,,
2000,21 - Organização Agrária,0 - Financeira,346.665.659,346.665.659,172.294.355,,,
2000,21 - Organização Agrária,1 - Primária obrigatória, considerada no cálculo do RP,189.255.020,189.255.020,189.228.422,,
2000,21 - Organização Agrária,2 - Primária discricionária, considerada no cálculo do RP,557.446.273,557.446.273,445.524.395,,
2000,22 - Indústria,1 - Primária obrigatória, considerada no cálculo do RP,63.849.450,63.849.450,62.220.233,,
2000,22 - Indústria,2 - Primária discricionária, considerada no cálculo do RP,258.728.674,258.728.674,200.872.001,,
2000,23 - Comércio e Serviços,0 - Financeira,759.483.050,759.483.050,660.915.381,,,
2000,23 - Comércio e Serviços,1 - Primária obrigatória, considerada no cálculo do RP,890.504.226,890.504.226,873.159.959,,
2000,23 - Comércio e Serviços,2 - Primária discricionária, considerada no cálculo do RP,213.617.550,213.617.550,161.208.880,,
2000,24 - Comunicações,1 - Primária obrigatória, considerada no cálculo do RP,79.139.363,79.139.363,79.010.067,,
2000,24 - Comunicações,2 - Primária discricionária, considerada no cálculo do RP,324.363.538,324.363.538,229.364.109,,
2000,25 - Energia,1 - Primária obrigatória, considerada no cálculo do RP,187.104.016,187.104.016,186.054.776,,
2000,25 - Energia,2 - Primária discricionária, considerada no cálculo do RP,336.947.706,336.947.706,256.590.075,,
2000,26 - Transporte,0 - Financeira,186.628.090,186.628.090,0,,,
2000,26 - Transporte,1 - Primária obrigatória, considerada no cálculo do RP,298.315.375,298.315.375,292.662.536,,
2000,26 - Transporte,2 - Primária discricionária, considerada no cálculo do RP,2.804.189.059,2.804.189.059,1.743.692.612,,
2000,27 - Desporto e Lazer,1 - Primária obrigatória, considerada no cálculo do RP,4.514.787,4.514.787,4.314.787,,
2000,27 - Desporto e Lazer,2 - Primária discricionária, considerada no cálculo do RP,169.302.012,169.302.012,64.789.838,,
2000,28 - Encargos Especiais,0 - Financeira,388.989.118.592,388.989.118.592,388.199.189.039,,,
2000,28 - Encargos Especiais,1 - Primária obrigatória, considerada no cálculo do RP,44.971.050.616,44.971.050.616,42.173.937.993,,
2000,28 - Encargos Especiais,2 - Primária discricionária, considerada no cálculo do RP,627.669.018,627.669.018,148.341.858,,
2001,01 - Legislativa,1 - Primária obrigatória, considerada no cálculo do RP,1.673.037.563,1.673.037.563,1.602.957.052,,
2001,01 - Legislativa,2 - Primária discricionária, considerada no cálculo do RP,436.435.271,436.435.271,341.386.974,,
2001,02 - Judiciária,0 - Financeira,1.800.000,1.800.000,0,,,
2001,02 - Judiciária,1 - Primária obrigatória, considerada no cálculo do RP,5.732.874.129,5.732.874.129,5.720.814.648,,
2001,02 - Judiciária,2 - Primária discricionária, considerada no cálculo do RP,980.890.092,980.890.092,734.636.554,,
2001,03 - Essencial à Justiça,1 - Primária obrigatória, considerada no cálculo do RP,701.757.601,701.757.601,701.757.601,,
2001,03 - Essencial à Justiça,2 - Primária discricionária, considerada no cálculo do RP,157.747.000,157.747.000,123.841.591,,
2001,04 - Administração,0 - Financeira,730.382.213,730.382.213,310.490.897,,,
2001,04 - Administração,1 - Primária obrigatória, considerada no cálculo do RP,3.962.678.487,3.962.678.487,3.401.847.871,,
2001,04 - Administração,2 - Primária discricionária, considerada no cálculo do RP,2.572.847.531,2.572.847.531,1.754.280.137,,
2001,05 - Defesa Nacional,0 - Financeira,2.457.133,2.457.133,1.347.016,,,
2001,05 - Defesa Nacional,1 - Primária obrigatória, considerada no cálculo do RP,6.969.346.861,6.969.346.861,6.969.049.488,,
2001,05 - Defesa Nacional,2 - Primária discricionária, considerada no cálculo do RP,4.919.708.774,4.919.708.774,3.366.377.144,,
2001,06 - Segurança Pública,0 - Financeira,530.702.968,530.702.968,87.703.379,,,
2001,06 - Segurança Pública,1 - Primária obrigatória, considerada no cálculo do RP,1.064.288.356,1.064.288.356,1.041.070.880,,
2001,06 - Segurança Pública,2 - Primária discricionária, considerada no cálculo do RP,1.009.294.884,1.009.294.884,1.068.752.716,,
2001,07 - Relações Exteriores,0 - Financeira,1.689,1.689,0,,,
2001,07 - Relações Exteriores,1 - Primária obrigatória, considerada no cálculo do RP,359.066.637,359.066.637,358.958.403,,
2001,07 - Relações Exteriores,2 - Primária discricionária, considerada no cálculo do RP,566.743.604,566.743.604,557.777.820,,
2001,08 - Assistência Social,0 - Financeira,4.426.018.108,4.426.018.108,1.791.731.385,,,
2001,08 - Assistência Social,1 - Primária obrigatória, considerada no cálculo do RP,156.884.167,156.884.167,2.546.010.351,,
2001,08 - Assistência Social,2 - Primária discricionária, considerada no cálculo do RP,715.363.057,715.363.057,688.177.476,,
2001,09 - Previdência Social,0 - Financeira,45.825.432.791,45.825.432.791,30.940.425.104,,,
2001,09 - Previdência Social,1 - Primária obrigatória, considerada no cálculo do RP,60.201.945.837,60.201.945.837,74.627.563.632,,
2001,09 - Previdência Social,2 - Primária discricionária, considerada no cálculo do RP,1.516.879.290,1.516.879.290,1.314.686.607,,
2001,10 - Saúde,0 - Financeira,70.407.310,70.407.310,6.909.483,,,
2001,10 - Saúde,1 - Primária obrigatória, considerada no cálculo do RP,18.248.790.295,18.248.790.295,17.901.971.707,,
2001,10 - Saúde,2 - Primária discricionária, considerada no cálculo do RP,5.314.660.594,5.314.660.594,2.777.305.545,,
2001,11 - Trabalho,0 - Financeira,5.652.176.716,5.652.176.716,5.170.239.634,,,
2001,11 - Trabalho,1 - Primária obrigatória, considerada no cálculo do RP,702.909.726,702.909.726,981.232.326,,
2001,11 - Trabalho,2 - Primária discricionária, considerada no cálculo do RP,1.086.034.640,1.086.034.640,1.043.072.083,,
2001,12 - Educação,0 - Financeira,7.475.528.559,7.475.528.559,4.023.095.823,,,
2001,12 - Educação,1 - Primária obrigatória, considerada no cálculo do RP,2.086.493.416,2.086.493.416,3.190.528.422,,
2001,12 - Educação,2 - Primária discricionária, considerada no cálculo do RP,2.075.318.881,2.075.318.881,3.244.178.855,,
2001,13 - Cultura,0 - Financeira,13.412.204,13.412.204,3.293.625,,,
2001,13 - Cultura,1 - Primária obrigatória, considerada no cálculo do RP,73.161.601,73.161.601,72.825.506,,
2001,13 - Cultura,2 - Primária discricionária, considerada no cálculo do RP,191.519.624,191.519.624,124.666.443,,
2001,14 - Direitos da Cidadania,0 - Financeira,192.861.867,192.861.867,88.881.880,,,
2001,14 - Direitos da Cidadania,1 - Primária obrigatória, considerada no cálculo do RP,154.877.323,154.877.323,150.557.805,,
2001,14 - Direitos da Cidadania,2 - Primária discricionária, considerada no cálculo do RP,236.681.962,236.681.962,257.082.498,,
2001,15 - Urbanismo,2 - Primária discricionária, considerada no cálculo do RP,491.378.432,491.378.432,90.023.732,,
2001,16 - Habitação,0 - Financeira,128.126.544,128.126.544,0,,,
2001,16 - Habitação,2 - Primária discricionária, considerada no cálculo do RP,229.007.240,229.007.240,58.276.427,,
2001,17 - Saneamento,2 - Primária discricionária, considerada no cálculo do RP,233.417.737,233.417.737,57.061.001,,
2001,18 - Gestão Ambiental,0 - Financeira,308.407.881,308.407.881,56.595.166,,,
2001,18 - Gestão Ambiental,1 - Primária obrigatória, considerada no cálculo do RP,205.217.551,205.217.551,205.217.551,,
